ID,Wiek,Płeć,Miasto,Liczba_Dzieci,Przychód,Czy_Aktywny,Data_Rejestracji,Opis
1,43,M,Poznań,1,5635.78,True,2021-10-07,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
2,39,M,nan,4,2076.43,True,2023-02-18,
3,43,M,Warszawa,1,5296.23,True,2020-01-31,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
4,47,M,Warszawa,1,2493.29,False,2022-12-14,
5,54,K,nan,0,3853.67,True,2021-09-21,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
6,44,K,Kraków,1,6569.37,True,2023-04-14,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
7,40,M,Gdańsk,0,7611.22,True,2020-04-20,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
8,28,K,Gdańsk,1,1010.24,True,2023-07-10,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
9,41,K,Warszawa,4,4076.33,False,2022-05-08,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
10,38,K,Warszawa,1,5883.23,False,2023-09-29,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
11,20,M,Kraków,4,5415.88,True,2023-05-29,nan
12,39,K,Warszawa,3,3605.17,False,2022-09-14,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
13,33,M,nan,4,5578.24,False,2022-02-12,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
14,36,M,Warszawa,3,1284.0,True,2021-03-09,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
15,28,M,nan,0,6088.54,True,2021-03-31,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
16,31,M,Poznań,3,100.0,True,2022-06-17,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
17,42,K,Katowice,3,6587.84,True,2021-04-24,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
18,22,M,Warszawa,0,4157.96,True,2023-07-06,
19,34,K,Poznań,2,6549.83,True,2021-07-17,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
20,32,M,Gdańsk,2,3190.22,True,2021-01-20,
21,24,M,nan,1,4386.6,True,2023-09-16,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
22,43,M,Wrocław,1,6992.31,True,2021-06-21,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
23,45,M,nan,3,5120.94,True,2022-09-01,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
24,35,K,Kraków,0,16512.02,True,2020-02-15,nan
25,55,M,Katowice,4,2438.77,False,2021-05-10,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
26,36,K,Wrocław,2,7294.63,False,2022-11-20,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
27,29,M,nan,3,2977.67,True,2020-08-15,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
28,42,M,nan,3,6653.22,True,2020-04-17,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
